date,Pigeon Island,Royal Botanical Gardens,Hanthana Mountain Range,Weligama Surf Break,Ravana Falls,Adisham Bungalow,Yala National Park,Minneriya National Park,Nilaveli Beach,Temple of the Tooth,Galle Fort,Mirissa Whale Watching,Hiriwadunna Village Trek,Diyaluma Falls,Pidurangala Rock,Moon Plains,Wilpattu National Park,Sembuwatta Lake,Delft Island,Madol Doova,Ritigala Forest Monastery,Koggala Lake Safari,Bahirawakanda Buddha,Casuarina Beach,Strawberry Farm Visit,Yapahuwa Rock Fortress,Jaffna Fort,Bambarakanda Falls,Kelaniya Raja Maha Vihara,Unawatuna Jungle Beach,Nallur Kandaswamy Kovil,Pasikudah Beach,Jaffna Public Library,Gregory Lake,Galle Face Green,Sinharaja Forest Reserve,Hikkaduwa Coral Reef,Parakrama Samudra,Dambulla Cave Temple,Muthurajawela Wetland,Rose Quartz Mountain,Nine Arches Bridge,Pedro Tea Estate,Ambuluwawa Tower,Embekke Devalaya,St. Clair's Falls,Gangaramaya Temple,Riverston Gap,Elephant Rock,Hakgala Botanical Garden,Mihintale,Coconut Tree Hill,Nagadeepa Vihara,Victoria Park,Kumana Bird Sanctuary,Lipton's Seat,Lotus Tower,Ella Rock Hike,Trincomalee Harbour,Point Pedro,Kandy Lake Stroll,Horton Plains,Sea Turtle Hatchery,Anuradhapura Sacred City,Old Dutch Hospital,Japanese Peace Pagoda,Little Adam's Peak,Arugam Bay,Udawalawe National Park,Independence Square,Koneswaram Temple,Ceylon Tea Museum,Sigiriya Lion Rock,Kitulgala Rafting,Mount Lavinia Beach,Avukana Buddha Statue,Marble Beach,Polonnaruwa Ruins,Udawattekele Sanctuary,Negombo Fish Market
2020-12-27,0,0,0,0,0,0,35,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,100,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,37,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,0,0,0,0,0,0,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,66,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,28,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,80,0,0,0
2021-02-14,0,0,0,0,0,0,27,0,0,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,58,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,22,0,29,0,25,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,0,0,0,0,0,0,22,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
