location_name,lat,lon,area_cluster,is_beach,is_crowded,is_tourist_place,is_transit,hour,day_night,day_of_week,is_weekend,police_nearby,risk_harassment,risk_pickpocket,risk_scam,risk_bag_snatching,risk_theft,risk_extortion,risk_money_theft
Colombo Fort Station,6.932298,79.849298,1,0,1,0,1,5,night,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Negombo Beach,7.213538,79.838102,5,1,1,1,0,2,night,6,1,0,High,Low,Low,Low,High,Medium,Low
Temple of Tooth,7.294526,80.63536,2,0,1,1,0,11,day,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Kollupitiya,6.918908,79.845794,1,0,1,1,0,14,day,4,0,0,Low,High,Low,High,Low,Low,High
Pettah Market,6.941968,79.850137,1,0,1,1,0,10,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Ahangama Beach,5.969615,80.363891,4,1,1,1,0,22,night,5,1,0,High,Low,Low,Low,High,Medium,Low
Mount Lavinia Station,6.843015,79.865814,9,1,1,1,1,6,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Mount Lavinia Station,6.839418,79.868471,9,1,1,1,1,9,day,4,0,1,Low,Low,Low,Medium,Low,Low,Low
Haputale Railway Station,6.767672,80.965545,19,0,1,1,1,5,night,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Hatton Railway Station,6.889669,80.599335,17,0,1,1,1,0,night,6,1,0,Low,Low,Low,Medium,Medium,Low,Low
Galle Fort Market,6.031993,80.219494,3,0,1,1,0,17,day,0,0,0,Low,High,Low,Medium,Low,Low,Medium
Haputale Railway Station,6.765262,80.966143,19,0,1,1,1,10,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Pettah Station,6.941938,79.859069,1,0,1,0,1,19,night,3,0,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.831293,80.990494,18,0,1,0,1,13,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Unawatuna Beach,6.008375,80.248195,4,1,1,1,0,20,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Hikkaduwa Beach,6.143546,80.104286,4,1,1,1,0,17,day,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort,6.033091,80.219706,3,0,1,1,0,17,day,6,1,0,Low,Medium,High,Low,Low,Low,Low
Bandarawela Railway Station,6.829294,80.984817,18,0,1,0,1,8,day,3,0,1,Low,Low,Low,Medium,Low,Low,Low
Colombo Fort Station,6.928754,79.848738,1,0,1,0,1,6,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Mirissa Beach,5.946216,80.459512,4,1,1,1,0,12,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Ahangama Beach,5.974373,80.363077,4,1,1,1,0,21,night,2,0,0,High,Low,Low,Low,High,Medium,Low
Haputale Railway Station,6.766881,80.97409,19,0,1,1,1,5,night,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Ella Station,6.870128,81.048356,8,0,1,1,1,9,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Dambulla Cave,7.85666,80.645127,10,0,1,1,0,3,night,6,1,0,Low,Medium,Low,Low,Low,Low,Low
Galle Fort Market,6.025928,80.215001,3,0,1,1,0,4,night,4,0,0,Low,Low,Low,Low,Medium,Low,Low
Ella Station,6.869141,81.042407,8,0,1,1,1,17,day,4,0,1,Low,Low,Low,Medium,Low,Low,Low
Galle Fort,6.03358,80.219145,3,0,1,1,0,10,day,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Negombo Beach,7.210366,79.836691,5,1,1,1,0,19,night,5,1,0,High,Low,Low,Low,Medium,Low,Low
Negombo Beach,7.21169,79.837038,5,1,1,1,0,15,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Bentota Beach,6.425769,79.996723,4,1,1,1,0,19,night,5,1,0,High,Low,Low,Low,Medium,Low,Low
Ahangama Beach,5.973639,80.367661,4,1,1,1,0,13,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Temple of Tooth,7.295677,80.638529,2,0,1,1,0,9,day,0,0,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.763487,80.968147,19,0,1,1,1,20,night,6,1,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.03213,80.218942,3,0,1,1,0,1,night,6,1,0,Low,Medium,Low,Low,Low,Low,Low
Pettah Market,6.93696,79.849255,1,0,1,1,0,18,night,2,0,0,Low,High,Low,Medium,Low,Low,Medium
Bentota Beach,6.426642,79.991963,4,1,1,1,0,20,night,5,1,0,High,Low,Low,Low,Medium,Low,Low
Mount Lavinia Station,6.840975,79.861871,9,1,1,1,1,19,night,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Temple of Tooth,7.297049,80.644261,2,0,1,1,0,10,day,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Pettah Market,6.941045,79.855341,1,0,1,1,0,19,night,6,1,0,Low,High,Low,Medium,Low,Low,High
Kaluthara Beach,6.588262,79.962654,4,1,1,1,0,19,night,2,0,0,Medium,Low,Low,Low,Medium,Low,Low
Hikkaduwa Beach,6.138482,80.10259,4,1,1,1,0,13,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Kandy Station,7.299844,80.629398,2,0,1,0,1,9,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Ahungalla Beach,6.324554,80.025139,4,1,1,1,0,14,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Ahangama Beach,5.973737,80.361345,4,1,1,1,0,13,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Bandarawela Railway Station,6.829975,80.98384,18,0,1,0,1,13,day,5,1,0,Low,Medium,Low,High,Low,Low,Medium
Unawatuna Beach,6.014601,80.247577,4,1,1,1,0,1,night,0,0,1,Medium,Low,Low,Low,Low,Low,Low
Negombo Beach,7.213697,79.83151,5,1,1,1,0,14,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Temple of Tooth,7.294009,80.639944,2,0,1,1,0,20,night,4,0,0,Low,Medium,Medium,Low,Low,Low,Low
Galkissa Beach,6.840345,79.867065,9,1,1,1,0,21,night,6,1,0,High,Low,Low,Low,High,Medium,Low
Kuruduwaththa Station,6.920843,79.868132,1,0,1,0,1,5,night,2,0,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.829632,80.988349,18,0,1,0,1,6,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.840737,79.865652,9,1,1,1,1,10,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Kollupitiya,6.918616,79.850063,1,0,1,1,0,10,day,6,1,0,Low,High,Low,Low,Low,Low,High
Galle Fort Market,6.029872,80.21631,3,0,1,1,0,21,night,4,0,0,Low,Low,Low,Low,Medium,Low,Low
Colombo Fort Station,6.936474,79.852375,1,0,1,0,1,17,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.957635,80.758179,10,0,1,1,0,5,night,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Hatton Railway Station,6.887356,80.593278,17,0,1,1,1,17,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.030645,80.21616,3,0,1,1,0,17,day,4,0,0,Low,Medium,Medium,Low,Low,Low,Low
Kollupitiya,6.917273,79.84952,1,0,1,1,0,6,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Mount Lavinia Station,6.841768,79.862818,9,1,1,1,1,16,day,4,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Negombo Beach,7.208874,79.837294,5,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Colombo Fort Station,6.93946,79.847698,1,0,1,0,1,13,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Unawatuna Beach,6.008105,80.251176,4,1,1,1,0,20,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Kuruduwaththa Station,6.914861,79.874062,1,0,1,0,1,22,night,6,1,0,Low,Low,Low,Medium,Medium,Low,Low
Haputale Railway Station,6.766716,80.966841,19,0,1,1,1,17,day,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
